SEED_id	name	concentration
cpd00438	Deoxyadenosine	0.3097688708
cpd01242	Deoxyribose	1
cpd00054	L-Serine	0.5112919894
cpd11851	Levan	1
cpd22386	Arabinogalactan	1
cpd22387	Arabinoxylan	1
cpd15269	Vaccenic acid	0.2667643516
cpd00122	N-Acetyl-D-glucosamine	0.2010640028
cpd00048	Sulfate	0.2616520041
cpd00239	Thioether	1
cpd11748	Laminarin	1
cpd28101	Rhamnogalacturonans-I	1
cpd00232	N-Acetylneuraminic acid	0.3118839621
cpd00128	Adenine	0.0029855614
cpd00129	L-Proline	0.3340959771
cpd00216	Chorismate	0.0408675365
cpd00047	Formic acid	0.2635929118
cpd10516	Fe3+	0.41349348
cpd10515	Fe2+	0.3271819413
cpd00443	p-Aminobenzoic acid	1
cpd11688	Pullulan	1
cpd00137	Citric acid	0.363681006
cpd15311	1,2-Diacyl-sn-glycerol dioctadecanoyl	1
cpd00971	Sodium	0.2563065333
cpd01080	Stearic acid	0.2789753906
cpd00136	4-Hydroxybenzoic acid	0.2943515656
cpd00382	Raffinose	1
cpd00039	L-Lysine	0.5343332926
cpd00133	Niacinamide	0.3036393759
cpd00132	L-Asparagine	0.1556240482
cpd01727	Pimelic acid	1
cpd00035	L-Alanine	0.7994536908
cpd00226	Hypoxanthine	0.3130218995
cpd00030	Manganese	0.3275742462
cpd11752	Xyloglucan	1
cpd00222	Gluconic acid	0.3110425829
cpd28193	Starch	1
cpd00635	Cob(I)alamin	0.3557176144
cpd03725	Iron(III)dicitrate	0.3220764316
cpd00309	Xanthine	0.4122545255
cpd00307	Cytosine	0.2641091242
cpd00305	Thiamine	0.3677621688
cpd27835	rhamnogalurII	1
cpd00557	Siroheme	1
cpd01122	Linoleic acid	1
cpd03846	octanoate (n-C8:0)	1
cpd03847	Myristic acid	0.394603733
cpd03849	Gamolenic acid	1
cpd00138	D-Mannose	0.4229215259
cpd27402	Lichenin	1
cpd03198	Melibiose	0.300589105
cpd00033	Glycine	0.210939659
cpd00396	Rhamnose	0.2743919321
cpd00029	Acetic acid	1
cpd00027	D-Glucose	0.1901989811
cpd00023	L-Glutamic acid	0.2914025185
cpd11606	Menaquinone 7	0.2669885701
cpd00314	Mannitol	0.163946744
cpd00149	Cobalt	0.257278589
cpd01017	Cysteinylglycine	0.3187682181
cpd00254	Magnesium	0.2439319723
cpd00264	Spermidine	0.3575114487
cpd03850	Alpha-Linolenic acid	1
cpd15500	Menaquinone 8	0.0695695909
cpd15237	Palmitoleic acid	0.2573485001
cpd00794	Trehalose	0.1603906122
cpd00016	'Pyridoxal 5''-phosphate'	1
cpd00654	Deoxycytidine	0.9058237617
cpd00656	Galactomannoglycan	1
cpd00041	L-Aspartic acid	0.2111247624
cpd00098	Choline	0.3672903764
cpd00099	Chloride ion	0.3018620075
cpd00492	N-Acetylmannosamine	0.242299111
cpd00156	L-Valine	0.1879107741
cpd00154	D-Xylose	0.2257505339
cpd00092	Uracil	0.3211003628
cpd00158	Cellobiose	0.1841059488
cpd00094	2-Ketobutyric acid	0.0042804414
cpd00042	Glutathione	0.1633065552
cpd29253	1F-beta-D-fructosylsucrose	1
cpd27519	Methylesterified-homogalacturonan	1
cpd00007	o2	0.000001
cpd00001	Water	10
cpd00644	Pantothenic acid	0.2460894167
cpd00009	Phosphate	0.3939406539
cpd00166	Adenosylcobalamin	1
cpd00160	Cholesterol	1
cpd00161	L-Threonine	0.1925823492
cpd00276	Glucosamine	0.1364351422
cpd00084	L-Cysteine	0.2735200153
cpd00080	Glycerol 3-phosphate	0.3586138018
cpd00082	D-Fructose	0.1629424628
cpd00508	2-keto-3-methyl-valerate	1
cpd00185	Arabinose	0.195298497
cpd00186	D-Glutamic acid	0.1072351671
cpd00180	Oxalic acid	1
cpd00182	Adenosine	0.3961956535
cpd00224	L-Arabinose	0.2958692173
cpd00188	Arachidonate	1
cpd12115	alpha-L-Arabinan	1
cpd15352	2-Demethylmenaquinone 8	0.0429519868
cpd00277	Deoxyguanosine	0.4862562127
cpd00179	D-Maltose	0.1953524589
cpd00214	Palmitic acid	0.2924757291
cpd11657	Starch	1
cpd11658	Dextran	1
cpd05565	Inuline	1
cpd00117	D-Alanine	0.264243297
cpd00263	Pyridoxine	1
cpd00265	Amylopectin	1
cpd00075	Nitrite	0.3092575499
cpd00076	Sucrose	0.2393307217
cpd11955	Glucomannan	1
cpd00018	Adenosine monophosphate	0.1976234766
cpd00751	L-Fucose	1
cpd00184	Thymidine	0.4343021917
cpd01188	Lanosterin	0.2712511161
cpd00419	Pyridoxamine	1
cpd00066	L-Phenylalanine	1
cpd00516	meso-2-6-Diaminoheptanedioate	0.243056869
cpd15560	Ubiquinone-8	0.0930141877
cpd22518	CELLULOSE	1
cpd00393	Folic acid	0.3793674837
cpd00108	D-Galactose	0.1904975889
cpd11640	Hydrogen	0.1912429631
cpd00104	Biotin	0.259027366
cpd00105	D-Ribose	0.1522500917
cpd00106	Fumaric acid	0.0850197762
cpd00107	L-Leucine	0.4194935214
cpd00100	Glycerol	0.0561570073
cpd00249	Uridine	0.5619549368
cpd00063	Calcium	0.3182168348
cpd00215	Pyridoxal	0.2650142484
cpd03396	Selenic acid	1
cpd00067	Hydrogen Ion	0.5669480617
cpd00065	L-Tryptophan	0.277854143
cpd00064	Ornithine	0.3912702868
cpd00069	L-Tyrosine	0.5195556422
cpd00218	Nicotinic acid	0.3233537262
cpd00220	Riboflavin	0.3713116523
cpd01914	Methionine sulfoxide	0.3126440797
cpd11574	Molybdate	0.3175214095
cpd22448	Beta-D-Glucans	1
cpd00359	indol	1
cpd00119	L-Histidine	0.2652830764
cpd00118	Putrescine	0.4309756866
cpd01741	Dodecanoic acid	0.3422769389
cpd00116	Methanol	10
cpd11732	Xylan	1
cpd11735	Amylose	1
cpd00111	Oxidized glutathione	0.3482364528
cpd00207	Guanine	1
cpd00355	Nicotinamide ribotide	0.256533766
cpd00205	Potassium	0.4027461825
cpd00055	Formaldehyde	1
cpd00053	L-Glutamine	0.2875018432
cpd00051	L-Arginine	0.3343787219
cpd00322	L-Isoleucine	0.2871052151
cpd00209	Nitrate	0.2646822266
cpd00208	Alpha-Lactose	0.2490034651
