Metabolite	Enriched_in_CRC
SEED_id	0
cpd00438	0
cpd00531	0
cpd01329	0
cpd01242	0
cpd01914	0
cpd00264	1
cpd15269	1
cpd00122	0
cpd00311	0
cpd00121	0
cpd00126	0
cpd00034	0
cpd00232	0
cpd00129	1
cpd00047	0
cpd00046	0
cpd10516	0
cpd11588	0
cpd09878	0
cpd03422	0
cpd01133	0
cpd11582	0
cpd11583	0
cpd00609	0
cpd11581	0
cpd11586	0
cpd11587	0
cpd11584	0
cpd11585	0
cpd00540	0
cpd04098	0
cpd00162	0
cpd00423	0
cpd04097	0
cpd00421	0
cpd00137	0
cpd00305	0
cpd00039	1
cpd00971	0
cpd00355	0
cpd01080	1
cpd00136	0
cpd00038	0
cpd00130	0
cpd00133	0
cpd00132	1
cpd15494	0
cpd00224	0
cpd00036	0
cpd00226	1
cpd00221	0
cpd00220	0
cpd00033	1
cpd03048	0
cpd00637	0
cpd00635	0
cpd03725	0
cpd03724	0
cpd00309	0
cpd11595	0
cpd00307	0
cpd11597	0
cpd11596	0
cpd11591	0
cpd11590	0
cpd11593	0
cpd11592	0
cpd08306	0
cpd08305	0
cpd03424	0
cpd00550	0
cpd00030	0
cpd00412	0
cpd00138	0
cpd00599	0
cpd02027	0
cpd08023	0
cpd03198	0
cpd00222	0
cpd00395	0
cpd00396	0
cpd03696	0
cpd00027	0
cpd01155	0
cpd01912	0
cpd00024	0
cpd00023	1
cpd00028	0
cpd11606	0
cpd02227	0
cpd00142	0
cpd00314	0
cpd00149	0
cpd01017	0
cpd00254	0
cpd00035	0
cpd01012	0
cpd00048	0
cpd00006	0
cpd11594	0
cpd15237	0
cpd03343	0
cpd00794	0
cpd00797	0
cpd00011	0
cpd00017	0
cpd00793	0
cpd00654	0
cpd11579	0
cpd00018	0
cpd00655	0
cpd00652	0
cpd00041	1
cpd00098	1
cpd00099	0
cpd00492	0
cpd00156	1
cpd11575	0
cpd00154	0
cpd01262	0
cpd00241	0
cpd00158	0
cpd00246	0
cpd00249	1
cpd01048	0
cpd11578	0
cpd03279	0
cpd00235	0
cpd00007	0
cpd01171	0
cpd00001	0
cpd00644	0
cpd00009	0
cpd00210	1
cpd00164	0
cpd11589	0
cpd00089	0
cpd00161	1
cpd00276	0
cpd00084	0
cpd00080	0
cpd00082	0
cpd00184	0
cpd00185	0
cpd00182	0
cpd00013	0
cpd01217	0
cpd00010	0
cpd10515	0
cpd00277	0
cpd00058	0
cpd11580	0
cpd00179	0
cpd00214	1
cpd00441	0
cpd00012	0
cpd00176	0
cpd01741	0
cpd00073	0
cpd00075	0
cpd00076	0
cpd00266	0
cpd00079	0
cpd01188	0
cpd16062	0
cpd00516	0
cpd00298	0
cpd00268	0
cpd00393	0
cpd03091	0
cpd00108	0
cpd11640	0
cpd00104	0
cpd00105	0
cpd00106	0
cpd00107	0
cpd00100	0
cpd00205	0
cpd00063	0
cpd00215	0
cpd00060	1
cpd00067	0
cpd00066	1
cpd00065	0
cpd00064	0
cpd00588	0
cpd00069	1
cpd00218	0
cpd11576	0
cpd00528	0
cpd01030	0
cpd00681	0
cpd11574	0
cpd00092	0
cpd00367	0
cpd00811	0
cpd00159	1
cpd00281	0
cpd00280	0
cpd00091	0
cpd00119	0
cpd00118	1
cpd00117	0
cpd00115	0
cpd01092	0
cpd00111	0
cpd15605	0
cpd15604	0
cpd00054	1
cpd15606	0
cpd00053	0
cpd15603	0
cpd00051	1
cpd00211	0
cpd00322	1
cpd03847	0
cpd00357	0
cpd00209	0
cpd00208	0
